 num     #instances         #bytes  class name (module)
  94:           259           8288  sun.security.util.KnownOIDs (java.base@16.0.2)
  95:           253           8096  java.lang.invoke.LambdaForm$Name (java.base@16.0.2)
  96:           202           8080  java.lang.Package$VersionInfo (java.base@16.0.2)
  97:           243           7776  java.io.File (java.base@16.0.2)
  98:           243           7776  java.lang.ref.WeakReference (java.base@16.0.2)
  99:            60           7680  sun.nio.fs.UnixFileAttributes (java.base@16.0.2)
 100:           312           7488  com.google.common.collect.RegularImmutableList
 101:           453           7248  java.util.concurrent.locks.ReentrantLock (java.base@16.0.2)
 102:           174           6960  java.util.WeakHashMap$Entry (java.base@16.0.2)
 103:           144           6912  com.google.inject.internal.ConstructorBindingImpl
 104:           103           6592  org.apache.maven.model.BuildBase
 105:           204           6528  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@16.0.2)
 106:           204           6528  jdk.internal.reflect.UnsafeObjectFieldAccessorImpl (java.base@16.0.2)
 107:           116           6496  java.util.Properties (java.base@16.0.2)
 108:           196           6272  org.codehaus.plexus.component.repository.ComponentRequirement
 109:           261           6264  java.util.ImmutableCollections$Set12 (java.base@16.0.2)
 110:            93           5952  java.util.zip.Inflater (java.base@16.0.2)
 111:           184           5888  com.google.inject.internal.InjectorImpl$1
 112:           182           5824  com.google.inject.internal.MembersInjectorImpl
 113:           232           5568  org.eclipse.sisu.space.NamedClass
 114:           172           5504  java.lang.ref.ReferenceQueue (java.base@16.0.2)
 115:            95           5320  java.lang.Module (java.base@16.0.2)
 116:           218           5256  [Ljava.lang.reflect.Type; (java.base@16.0.2)
 117:           219           5256  com.google.inject.internal.InternalFactoryToProviderAdapter
 118:           219           5256  com.google.inject.internal.ProviderToInternalFactoryAdapter
 119:           213           5112  com.google.inject.internal.InternalFactoryToInitializableAdapter
 120:           212           5088  com.google.inject.internal.ConstructionContext
 121:           103           4944  java.util.WeakHashMap (java.base@16.0.2)
 122:            61           4880  java.net.URI (java.base@16.0.2)
 123:           301           4816  java.lang.Integer (java.base@16.0.2)
 124:            60           4800  java.util.zip.ZipFile$Source (java.base@16.0.2)
 125:            54           4752  org.apache.maven.model.Build
 126:           144           4608  com.google.inject.internal.ConstructorBindingImpl$Factory
 127:           144           4608  com.google.inject.internal.ConstructorInjector
 128:            96           4608  org.mariadb.jdbc.util.DefaultOptions
 129:            57           4560  org.apache.maven.artifact.DefaultArtifact
 130:           105           4488  [[C (java.base@16.0.2)
 131:            12           4416  java.lang.Thread (java.base@16.0.2)
 132:           134           4288  java.lang.module.ModuleDescriptor$Requires (java.base@16.0.2)
 133:            53           4240  org.apache.maven.model.Scm
 134:             1           4112  [Ljava.nio.ByteBuffer; (java.base@16.0.2)
 135:           256           4096  java.lang.Byte (java.base@16.0.2)
 136:           256           4096  java.lang.Short (java.base@16.0.2)
 137:            64           4096  java.lang.module.ModuleDescriptor (java.base@16.0.2)
 138:           170           4080  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@16.0.2)
 139:           102           4080  org.eclipse.sisu.inject.MildValues$Weak
 140:           165           3960  com.google.inject.internal.MoreTypes$ParameterizedTypeImpl
 141:           247           3952  java.util.LinkedHashMap$LinkedValues (java.base@16.0.2)
 142:            48           3840  com.google.common.cache.LocalCache$Segment
 143:            79           3792  java.lang.invoke.LambdaForm (java.base@16.0.2)
 144:           118           3776  sun.nio.fs.UnixPath (java.base@16.0.2)
 145:           157           3768  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@16.0.2)
 146:            58           3712  org.apache.maven.model.Activation
 147:            90           3600  java.math.BigInteger (java.base@16.0.2)
 148:            84           3536  [Ljava.lang.invoke.LambdaForm$Name; (java.base@16.0.2)
 149:            88           3520  com.google.inject.internal.LinkedBindingImpl
 150:           220           3520  java.util.HashSet (java.base@16.0.2)
 151:           220           3520  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@16.0.2)
 152:           145           3480  com.google.common.collect.SingletonImmutableSet
 153:            62           3472  java.io.FileCleanable (java.base@16.0.2)
 154:           144           3456  com.google.inject.internal.DefaultConstructionProxyFactory$ReflectiveProxy
 155:            61           3416  jdk.internal.module.ModuleReferenceImpl (java.base@16.0.2)
 156:           142           3408  java.util.ImmutableCollections$SetN (java.base@16.0.2)
 157:            60           3360  java.util.jar.JarFile (java.base@16.0.2)
 158:           139           3336  org.eclipse.sisu.plexus.ProvidedPropertyBinding
 159:            83           3320  java.util.TreeMap$Entry (java.base@16.0.2)
 160:            82           3280  java.security.ProtectionDomain (java.base@16.0.2)
 161:            81           3240  java.security.CodeSource (java.base@16.0.2)
 162:           101           3232  java.lang.invoke.LambdaForm$NamedFunction (java.base@16.0.2)
 163:           201           3216  jdk.proxy2.$Proxy14 (jdk.proxy2)
 164:           100           3200  org.apache.maven.model.InputLocation
 165:            99           3168  org.eclipse.sisu.plexus.RequirementImpl
 166:            30           3136  [Ljava.lang.invoke.MethodHandle; (java.base@16.0.2)
 167:            56           3136  org.eclipse.aether.repository.RemoteRepository
 168:            97           3104  org.eclipse.sisu.inject.MildElements$Weak
 169:            96           3072  java.lang.invoke.MethodTypeForm (java.base@16.0.2)
 170:            95           3040  org.eclipse.sisu.inject.LocatedBeans
 171:            42           3024  org.apache.maven.model.DistributionManagement
 172:            47           3008  org.apache.maven.model.DeploymentRepository
 173:           125           3000  java.security.Provider$ServiceKey (java.base@16.0.2)
 174:            53           2968  java.security.Provider$Service (java.base@16.0.2)
 175:           157           2944  [Lsun.reflect.generics.tree.TypeArgument; (java.base@16.0.2)
 176:            61           2928  org.apache.maven.model.Reporting
 177:            91           2912  java.util.zip.ZipFile$CleanableResource (java.base@16.0.2)
 178:            60           2880  jdk.internal.loader.URLClassPath$JarLoader (java.base@16.0.2)
 179:           174           2784  java.lang.ref.ReferenceQueue$Lock (java.base@16.0.2)
 180:            85           2720  com.google.inject.internal.FactoryProxy
 181:           113           2712  org.eclipse.aether.repository.RepositoryPolicy
 182:            56           2688  org.apache.maven.model.ReportSet
